img,img_path,modality,higher_modality
PMC5350597___gr6.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC5350597___gr6.jpg,line,GRAPHICS
PMC4411658___12889_2015_1689_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4411658___12889_2015_1689_Fig3_HTML.jpg,line,GRAPHICS
PMC4411932___12889_2015_1667_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4411932___12889_2015_1667_Fig1_HTML.jpg,line,GRAPHICS
PMC4411932___12889_2015_1667_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4411932___12889_2015_1667_Fig2_HTML.jpg,line,GRAPHICS
PMC4411932___12889_2015_1667_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4411932___12889_2015_1667_Fig3_HTML.jpg,line,GRAPHICS
PMC4411978___fpubh-03-00063-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4411978___fpubh-03-00063-g002.jpg,line,GRAPHICS
PMC4415253___12711_2014_82_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4415253___12711_2014_82_Fig4_HTML.jpg,line,GRAPHICS
PMC4415253___12711_2014_82_Fig6_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4415253___12711_2014_82_Fig6_HTML.jpg,line,GRAPHICS
PMC4415362___12889_2015_1582_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4415362___12889_2015_1582_Fig1_HTML.jpg,line,GRAPHICS
PMC4416272___12711_2015_118_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4416272___12711_2015_118_Fig1_HTML.jpg,line,GRAPHICS
PMC4416272___12711_2015_118_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4416272___12711_2015_118_Fig2_HTML.jpg,line,GRAPHICS
PMC4416272___12711_2015_118_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4416272___12711_2015_118_Fig3_HTML.jpg,line,GRAPHICS
PMC4422020___fgene-06-00168-g0002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4422020___fgene-06-00168-g0002.jpg,line,GRAPHICS
PMC4423573___1471-2156-16-S2-S4-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4423573___1471-2156-16-S2-S4-2.jpg,line,GRAPHICS
PMC4424902___fgene-06-00176-g0001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4424902___fgene-06-00176-g0001.jpg,line,GRAPHICS
PMC4431600___CMMM2015-746157.002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4431600___CMMM2015-746157.002.jpg,line,GRAPHICS
PMC4431600___CMMM2015-746157.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4431600___CMMM2015-746157.004.jpg,line,GRAPHICS
PMC4443735___fgene-06-00173-g0005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4443735___fgene-06-00173-g0005.jpg,line,GRAPHICS
PMC4444498___je-25-437-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4444498___je-25-437-g002.jpg,line,GRAPHICS
PMC4449572___12863_2015_218_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4449572___12863_2015_218_Fig1_HTML.jpg,line,GRAPHICS
PMC4450050___pgen.1004926.g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450050___pgen.1004926.g001.jpg,line,GRAPHICS
PMC4450290___CMMM2015-829893.005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450290___CMMM2015-829893.005.jpg,line,GRAPHICS
PMC4450290___CMMM2015-829893.006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450290___CMMM2015-829893.006.jpg,line,GRAPHICS
PMC4450299___CMMM2015-789485.014.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450299___CMMM2015-789485.014.jpg,line,GRAPHICS
PMC4450304___CMMM2015-953868.001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450304___CMMM2015-953868.001.jpg,line,GRAPHICS
PMC4450306___CMMM2015-527815.008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450306___CMMM2015-527815.008.jpg,line,GRAPHICS
PMC4450336___CMMM2015-265497.005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450336___CMMM2015-265497.005.jpg,line,GRAPHICS
PMC4450341___CMMM2015-607407.tab2.i002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450341___CMMM2015-607407.tab2.i002.jpg,line,GRAPHICS
PMC4450341___CMMM2015-607407.tab2.i005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4450341___CMMM2015-607407.tab2.i005.jpg,line,GRAPHICS
PMC4452306___CMMM2015-830849.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4452306___CMMM2015-830849.004.jpg,line,GRAPHICS
PMC4452306___CMMM2015-830849.008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4452306___CMMM2015-830849.008.jpg,line,GRAPHICS
PMC4452334___CMMM2015-623236.006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4452334___CMMM2015-623236.006.jpg,line,GRAPHICS
PMC4452507___CMMM2015-275045.003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4452507___CMMM2015-275045.003.jpg,line,GRAPHICS
PMC4452507___CMMM2015-275045.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4452507___CMMM2015-275045.004.jpg,line,GRAPHICS
PMC4452509___CMMM2015-265138.011.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4452509___CMMM2015-265138.011.jpg,line,GRAPHICS
PMC4454932___ijerph-12-04652-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454932___ijerph-12-04652-g002.jpg,line,GRAPHICS
PMC4454947___ijerph-12-04942-g006b.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454947___ijerph-12-04942-g006b.jpg,line,GRAPHICS
PMC4454948___ijerph-12-04967-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454948___ijerph-12-04967-g005.jpg,line,GRAPHICS
PMC4454948___ijerph-12-04967-g007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454948___ijerph-12-04967-g007.jpg,line,GRAPHICS
PMC4454948___ijerph-12-04967-g010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454948___ijerph-12-04967-g010.jpg,line,GRAPHICS
PMC4454948___ijerph-12-04967-g011.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454948___ijerph-12-04967-g011.jpg,line,GRAPHICS
PMC4454949___ijerph-12-04992-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454949___ijerph-12-04992-g001.jpg,line,GRAPHICS
PMC4454949___ijerph-12-04992-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454949___ijerph-12-04992-g003.jpg,line,GRAPHICS
PMC4454949___ijerph-12-04992-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454949___ijerph-12-04992-g004.jpg,line,GRAPHICS
PMC4454949___ijerph-12-04992-g006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454949___ijerph-12-04992-g006.jpg,line,GRAPHICS
PMC4454962___ijerph-12-05196-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454962___ijerph-12-05196-g001.jpg,line,GRAPHICS
PMC4454962___ijerph-12-05196-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454962___ijerph-12-05196-g002.jpg,line,GRAPHICS
PMC4454977___ijerph-12-05420-g006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454977___ijerph-12-05420-g006.jpg,line,GRAPHICS
PMC4454986___ijerph-12-05581-i001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454986___ijerph-12-05581-i001.jpg,line,GRAPHICS
PMC4454986___ijerph-12-05581-i002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454986___ijerph-12-05581-i002.jpg,line,GRAPHICS
PMC4454986___ijerph-12-05581-i003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454986___ijerph-12-05581-i003.jpg,line,GRAPHICS
PMC4454986___ijerph-12-05581-i007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4454986___ijerph-12-05581-i007.jpg,line,GRAPHICS
PMC4458284___CMMM2015-638568.003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458284___CMMM2015-638568.003.jpg,line,GRAPHICS
PMC4458298___CMMM2015-713424.006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458298___CMMM2015-713424.006.jpg,line,GRAPHICS
PMC4458298___CMMM2015-713424.010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458298___CMMM2015-713424.010.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.001.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.002.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.003.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.004.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.006.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.007.jpg,line,GRAPHICS
PMC4458364___CMMM2015-271654.008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458364___CMMM2015-271654.008.jpg,line,GRAPHICS
PMC4458543___CMMM2015-178247.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458543___CMMM2015-178247.004.jpg,line,GRAPHICS
PMC4458543___CMMM2015-178247.005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4458543___CMMM2015-178247.005.jpg,line,GRAPHICS
PMC4464681___CMMM2015-893507.010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4464681___CMMM2015-893507.010.jpg,line,GRAPHICS
PMC4464681___CMMM2015-893507.016.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4464681___CMMM2015-893507.016.jpg,line,GRAPHICS
PMC4464847___CMMM2015-680434.002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4464847___CMMM2015-680434.002.jpg,line,GRAPHICS
PMC4464847___CMMM2015-680434.011.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4464847___CMMM2015-680434.011.jpg,line,GRAPHICS
PMC4466366___CMMM2015-968429.006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4466366___CMMM2015-968429.006.jpg,line,GRAPHICS
PMC4466366___CMMM2015-968429.007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4466366___CMMM2015-968429.007.jpg,line,GRAPHICS
PMC4469838___CMMM2015-259474.002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4469838___CMMM2015-259474.002.jpg,line,GRAPHICS
PMC4470058___12889_2015_1914_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4470058___12889_2015_1914_Fig2_HTML.jpg,line,GRAPHICS
PMC4470058___12889_2015_1914_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4470058___12889_2015_1914_Fig3_HTML.jpg,line,GRAPHICS
PMC4470058___12889_2015_1914_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4470058___12889_2015_1914_Fig4_HTML.jpg,line,GRAPHICS
PMC4479065___12863_2015_220_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4479065___12863_2015_220_Fig3_HTML.jpg,line,GRAPHICS
PMC4479065___12863_2015_220_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4479065___12863_2015_220_Fig4_HTML.jpg,line,GRAPHICS
PMC4479065___12863_2015_220_Fig6_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4479065___12863_2015_220_Fig6_HTML.jpg,line,GRAPHICS
PMC4483725___ijerph-12-06700-g002b.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4483725___ijerph-12-06700-g002b.jpg,line,GRAPHICS
PMC4483738___ijerph-12-06894-i001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4483738___ijerph-12-06894-i001.jpg,line,GRAPHICS
PMC4483738___ijerph-12-06894-i002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4483738___ijerph-12-06894-i002.jpg,line,GRAPHICS
PMC4486706___12711_2015_134_Fig5_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4486706___12711_2015_134_Fig5_HTML.jpg,line,GRAPHICS
PMC4487592___12711_2015_135_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4487592___12711_2015_135_Fig3_HTML.jpg,line,GRAPHICS
PMC4488756___fgene-06-00233-g0002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4488756___fgene-06-00233-g0002.jpg,line,GRAPHICS
PMC4489012___CMMM2015-161797.005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4489012___CMMM2015-161797.005.jpg,line,GRAPHICS
PMC4489012___CMMM2015-161797.008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4489012___CMMM2015-161797.008.jpg,line,GRAPHICS
PMC4489012___CMMM2015-161797.009.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4489012___CMMM2015-161797.009.jpg,line,GRAPHICS
PMC4490705___12889_2015_1976_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4490705___12889_2015_1976_Fig2_HTML.jpg,line,GRAPHICS
PMC4492088___12711_2015_133_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4492088___12711_2015_133_Fig2_HTML.jpg,line,GRAPHICS
PMC4495630___12889_2015_1999_Fig10_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4495630___12889_2015_1999_Fig10_HTML.jpg,line,GRAPHICS
PMC4495630___12889_2015_1999_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4495630___12889_2015_1999_Fig2_HTML.jpg,line,GRAPHICS
PMC4495630___12889_2015_1999_Fig6_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4495630___12889_2015_1999_Fig6_HTML.jpg,line,GRAPHICS
PMC4495630___12889_2015_1999_Fig8_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4495630___12889_2015_1999_Fig8_HTML.jpg,line,GRAPHICS
PMC4498151___ddv07701.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4498151___ddv07701.jpg,line,GRAPHICS
PMC4499905___12889_2015_1977_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4499905___12889_2015_1977_Fig1_HTML.jpg,line,GRAPHICS
PMC4500101___fpubh-03-00178-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4500101___fpubh-03-00178-g002.jpg,line,GRAPHICS
PMC4500101___fpubh-03-00178-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4500101___fpubh-03-00178-g003.jpg,line,GRAPHICS
PMC4500101___fpubh-03-00178-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4500101___fpubh-03-00178-g004.jpg,line,GRAPHICS
PMC4500101___fpubh-03-00178-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4500101___fpubh-03-00178-g005.jpg,line,GRAPHICS
PMC4500101___fpubh-03-00178-g006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4500101___fpubh-03-00178-g006.jpg,line,GRAPHICS
PMC4500101___fpubh-03-00178-g007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4500101___fpubh-03-00178-g007.jpg,line,GRAPHICS
PMC4502461___12889_2015_2033_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4502461___12889_2015_2033_Fig1_HTML.jpg,line,GRAPHICS
PMC4504125___CMMM2015-582625.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4504125___CMMM2015-582625.004.jpg,line,GRAPHICS
PMC4509611___12863_2015_227_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4509611___12863_2015_227_Fig3_HTML.jpg,line,GRAPHICS
PMC4509611___12863_2015_227_Fig6_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4509611___12863_2015_227_Fig6_HTML.jpg,line,GRAPHICS
PMC4512379___ojphi-07-e136-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4512379___ojphi-07-e136-g001.jpg,line,GRAPHICS
PMC4512417___ojphi-07-e102-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4512417___ojphi-07-e102-g001.jpg,line,GRAPHICS
PMC4512470___ojphi-07-e97-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4512470___ojphi-07-e97-g001.jpg,line,GRAPHICS
PMC4513429___12889_2015_1901_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4513429___12889_2015_1901_Fig2_HTML.jpg,line,GRAPHICS
PMC4515655___ijerph-12-07254-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515655___ijerph-12-07254-g002.jpg,line,GRAPHICS
PMC4515655___ijerph-12-07254-g007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515655___ijerph-12-07254-g007.jpg,line,GRAPHICS
PMC4515655___ijerph-12-07254-g008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515655___ijerph-12-07254-g008.jpg,line,GRAPHICS
PMC4515681___ijerph-12-07647-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515681___ijerph-12-07647-g001.jpg,line,GRAPHICS
PMC4515683___ijerph-12-07667-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515683___ijerph-12-07667-g004.jpg,line,GRAPHICS
PMC4515692___ijerph-12-07804-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515692___ijerph-12-07804-g001.jpg,line,GRAPHICS
PMC4515725___ijerph-12-08332-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515725___ijerph-12-08332-g002.jpg,line,GRAPHICS
PMC4515728___ijerph-12-08413-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515728___ijerph-12-08413-g003.jpg,line,GRAPHICS
PMC4515728___ijerph-12-08413-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4515728___ijerph-12-08413-g004.jpg,line,GRAPHICS
PMC4521411___nihms708811f3.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4521411___nihms708811f3.jpg,line,GRAPHICS
PMC4521411___nihms708811f7.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4521411___nihms708811f7.jpg,line,GRAPHICS
PMC4521411___nihms708811f8.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4521411___nihms708811f8.jpg,line,GRAPHICS
PMC4521411___nihms708811f9.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4521411___nihms708811f9.jpg,line,GRAPHICS
PMC4522081___12711_2015_143_Fig1_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4522081___12711_2015_143_Fig1_HTML.jpg,line,GRAPHICS
PMC4522081___12711_2015_143_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4522081___12711_2015_143_Fig2_HTML.jpg,line,GRAPHICS
PMC4522081___12711_2015_143_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4522081___12711_2015_143_Fig3_HTML.jpg,line,GRAPHICS
PMC4522081___12711_2015_143_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4522081___12711_2015_143_Fig4_HTML.jpg,line,GRAPHICS
PMC4522081___12711_2015_143_Fig6_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4522081___12711_2015_143_Fig6_HTML.jpg,line,GRAPHICS
PMC4526788___fpubh-03-00191-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4526788___fpubh-03-00191-g003.jpg,line,GRAPHICS
PMC4528809___12889_2015_2111_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4528809___12889_2015_2111_Fig3_HTML.jpg,line,GRAPHICS
PMC4528809___12889_2015_2111_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4528809___12889_2015_2111_Fig4_HTML.jpg,line,GRAPHICS
PMC4532250___12889_2014_7561_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4532250___12889_2014_7561_Fig4_HTML.jpg,line,GRAPHICS
PMC4532250___12889_2014_7561_Fig5_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4532250___12889_2014_7561_Fig5_HTML.jpg,line,GRAPHICS
PMC4532250___12889_2014_7561_Fig6_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/line/PMC4532250___12889_2014_7561_Fig6_HTML.jpg,line,GRAPHICS
